company_name,gmaps_rating,gmaps_reviews,gmaps_status,gmaps_category
ურბანა,5.0,0,found,სამშენებლო კომპანია
შპს ჯითიბი,5.0,0,open,
კაიზენ კონსტრაქშენ ჯორჯია,5.0,0,open,სამშენებლო კომპანია
ანაგი,4.8,0,open,სამშენებლო კომპანია
სამშენებლო კომპანია ერთი,5.0,0,found,სამშენებლო კომპანია
ბლოქსი,4.9,0,open,უძრავი ქონების დეველოპერი
სითი epc,5.0,0,found,სამშენებლო კომპანია
ფარენჰაიტი,5.0,0,found,სამშენებლო კომპანია
ევორდ,5.0,0,found,სამშენებლო კომპანია
ბი ქეი ქონსთრაქშენ,5.0,0,open,უძრავი ქონების დეველოპერი
ჩვენი სახლი,5.0,0,found,
მედმშენი,5.0,0,found,სამშენებლო კომპანია
ჰაბმშენი,5.0,1,found,
ახალი თბილისი,5.0,0,found,
ტედა ლუქსი,5.0,0,open,სამშენებლო კომპანია
სონნეთ ქონსთრაქშენ,5.0,3,found,
კომლფორტი,5.0,0,open,
ხომერიკი და კომპანია,5.0,0,found,სამშენებლო კომპანია
რუფლაინ,5.0,0,found,სამშენებლო კომპანია
ნიკოლმანი,4.5,0,open,სამშენებლო კომპანია
ჯეოინჟინირინგი,5.0,0,open,
გეოარტქონსთრაქშენი,5.0,0,found,სამშენებლო კომპანია
ელიტჰოუმი,,0,not_found,
სიემსი - სამშენებლო მენეჯმენტი და კონსალტინგი,5.0,0,open,სამშენებლო კომპანია
ალფა-ტექს ქონსთრაქშენი,5.0,0,open,უძრავი ქონების დეველოპერი
ბიმ კუბ ქონსალთინგი,5.0,0,open,უძრავი ქონების დეველოპერი
BD Property,5.0,0,open,
ართვინ ჯორჯია,5.0,1,found,
არკონ,5.0,0,found,უძრავი ქონების დეველოპერი
გრანდე ჯგუფი,5.0,0,open,
ზემინ ტექნოლოჟისი ულუსლარარასის საქართველოს ფილიალი,5.0,0,open,სამშენებლო კომპანია
ზიმო,5.0,3,found,
თიდი კონსტრაქშენ,5.0,0,open,სამშენებლო კომპანია
თი-ისთეითი,5.0,5,found,
იდეა დეველოპმენტ,,0,not_found,
კომპანია ჯაოკენი,5.0,19,found,
ლიტ ჯეო ინვესტი,4.5,15,found,
პარვუს ქონსთრაქშენი,5.0,0,found,სამშენებლო კომპანია
სონნეთ ქონსთრაქშენ+,5.0,3,found,
სურვეიორ,5.0,0,found,სამშენებლო კომპანია
ტერასა გრუპი,,0,not_found,
ტესენ ქონსთრაქშენი,,0,open,სამშენებლო კომპანია
ტიბინი დეველოპმენტი,4.5,8,found,
ალიანსი თბილისი,5.0,0,found,
ბათთაუერსი,4.6,0,open,
ბალავარი პროპერთის,5.0,0,found,
ბანი 2007,,0,found,building materials
დოპელმაიერ საუს კაუკაზუს,,0,found,
მარდი კონსტრაქშენ,5.0,0,open,სამშენებლო კომპანია
მეგა დეველოპმენტი,5.0,3,found,
მეგობრობა,3.8,5,found,
ნექსთ ედრეს,5.0,0,found,სამშენებლო კომპანია
რეალ პალასი,5.0,0,found,სამშენებლო კომპანია
ს მოტორს,5.0,0,open,
ჯავა,5.0,0,open,სამშენებლო კომპანია
ჯბჯ,5.0,0,open,სამშენებლო კომპანია
ჰაუსარტ – ლუქსი,4.8,0,found,
ალექსანდრე სხულუხია,5.0,0,found,სამშენებლო კომპანია
ალისფერი აფრები,4.3,31,found,
არქი პრომოუშენ,4.8,0,open,
არქტური +,5.0,3,found,
ეიმ ბილდინგ სითი,5.0,0,found,უძრავი ქონების დეველოპერი
თი ემ ეს ქონსტრაქშენი,5.0,0,found,სამშენებლო კომპანია
ისანი ბილდინგ,4.3,3,found,
იქსორი,4.3,0,open,
რენოვარე,5.0,0,open,სამშენებლო კომპანია
ჯითისი ქონსთრაქშენ,5.0,0,open,
ჯსპ,5.0,0,open,
ალფა საბურთალო,4.7,0,open,უძრავი ქონების დეველოპერი
ბოტანიკალ გარდენს რეზიდენს,5.0,0,open,
გმ–გრუპი GM–group,,0,not_found,
თალასა ჯგუფი,5.0,0,open,სამშენებლო კომპანია
ლიდერ გრუპი,5.0,0,open,
მწვანე ფერი,4.9,38,found,
საბა კონსტრაქშენ,5.0,1,found,
ალიანსი ქობულეთი,4.9,0,open,უძრავი ქონების დეველოპერი
ერთობლივი საწარმოს ტოდინი–ტაკენაკას ფილიალი საქართველოში,5.0,0,open,სამშენებლო კომპანია
სამშენებლო კომპანია ალფა დეველოპმენტი,5.0,0,open,უძრავი ქონების დეველოპერი
ტერასა ბათუმი,5.0,0,found,
ტერასა წერეთელზე,4.2,81,found,
ADOG-GEORGIA,5.0,0,open,უძრავი ქონების დეველოპერი
გრავიტა,5.0,0,open,სამშენებლო კომპანია
ეიკონ დეველოპმენტი,5.0,0,open,სამშენებლო კომპანია
ენაიდი,5.0,0,open,უძრავი ქონების დეველოპერი
იმპელ დეველოპმენტ,5.0,0,open,
ლისი თაუერსი,5.0,0,open,სამშენებლო კომპანია
ოქროყანა რეზიდენს,5.0,0,open,
ელთ ბილდინგი,4.7,0,found,
მერქანი,5.0,0,found,
მეტრო ქონსტრაქშენ,5.0,0,open,უძრავი ქონების დეველოპერი
არტტექსი,5.0,0,open,
კოლოსი დიღომი,4.8,0,open,სამშენებლო კომპანია
რეალთი ავლაბარი,5.0,0,found,
ჯი–ბი–ჯი,5.0,0,open,უძრავი ქონების დეველოპერი
მეტრო ატლას ჯორჯია,5.0,0,open,უძრავი ქონების დეველოპერი
ოქტა ქონსთრაქშენ,5.0,0,open,სამშენებლო კომპანია
ქეფითალ სისტემს,4.6,0,found,
ალფა რეზიდენსი,5.0,0,open,უძრავი ქონების დეველოპერი
ბემონი ინჟინერია და მშენებლობა,4.3,10,found,
იორკ ჰოლდინგ გრუპი,1.0,5,found,
მს ბილდერი,4.0,1,found,
დევკო,5.0,0,open,სამშენებლო კომპანია
ვიზ,5.0,0,open,სამშენებლო კომპანია
ინნ დეველოპმენტი გლდანი,5.0,0,open,
ემკვადრატის პარკი 3,5.0,0,found,სამშენებლო კომპანია
იდეალთი,5.0,0,open,უძრავი ქონების დეველოპერი
ფორის დეველოპმენტი,4.5,2,found,
მატიანი ბიოგრაფისგან,5.0,0,found,
ჰაუსარტ ნუცუბიძე,4.8,0,found,
ჰაუს დიღომი,4.7,0,open,უძრავი ქონების დეველოპერი
ანაგი თბილისი,4.8,0,open,სამშენებლო კომპანია
ელკონს,5.0,0,open,სამშენებლო კომპანია
ჯორჯიან ჰაუზი,5.0,0,open,
დეკოლაინი,3.7,6,found,
ოსტატი,5.0,1,found,
ბი. აი. ჯი.,5.0,0,open,
ენ სი დი ვაშლიჯვარი,5.0,0,found,
პრაიმ ინვესტ ჯგუფი,5.0,0,found,სამშენებლო კომპანია
ბოსტონ დეველოპმენტ,5.0,0,open,სამშენებლო კომპანია
გეო ბილდერსი,4.4,0,found,
ტეტრისი,5.0,0,found,
მონდე,3.2,13,found,
რემმშენი,5.0,0,open,სამშენებლო კომპანია
მუხერი,5.0,0,open,სამშენებლო კომპანია
არტმშენი,5.0,0,open,სამშენებლო კომპანია
მეგალითი,5.0,0,found,სამშენებლო კომპანია
ნიკა,5.0,0,open,
გლობალ სტანდარტმშენი,5.0,0,open,უძრავი ქონების დეველოპერი
გალე კაპიტალი,5.0,0,found,
ფონ ჯორჯია,5.0,0,found,სამშენებლო კომპანია
სახლი დიღომში,5.0,0,open,
გ.მ.ს. ჯგუფი,5.0,0,open,უძრავი ქონების დეველოპერი
დეველოპმენტ ჯორჯია,5.0,0,open,უძრავი ქონების დეველოპერი
ინვესტ დეველოპმენტი,5.0,0,found,
რიკონი +,5.0,0,open,სამშენებლო კომპანია
ჯეო-ლაინი,5.0,0,found,სამშენებლო კომპანია
თბილისი ჰაუსი,4.8,0,open,უძრავი ქონების დეველოპერი
ლ.დ. დეველოპმენტი,5.0,0,found,სამშენებლო კომპანია
Prospero Georgia,5.0,0,open,
არგო ჯგუფი XXI,5.0,0,open,სამშენებლო კომპანია
გრავითი გრუფი,5.0,1,found,
მერიკა,5.0,0,found,სამშენებლო კომპანია
დიღომი 2000,4.9,0,found,
სასკო,5.0,0,found,სამშენებლო კომპანია
არქი დეეს,4.9,0,open,
სატურნი,5.0,0,found,
მარიალი,5.0,0,open,სამშენებლო კომპანია
ვექტორი,5.0,0,found,სამშენებლო კომპანია
იქს ვაი ზეტ.ჯი,5.0,0,open,building materials
გრანიტი,4.5,0,open,
ლისი პანორამა,4.2,182,found,
სამეცნიერო–საწარმოო კომპანია სოვბი,5.0,0,found,სამშენებლო კომპანია
ქლოქს,4.7,0,open,
"შეზღუდული პასუხისმგებლობის საზოგადოება ქარადენიზ პრეფაბრიქ მაქინე, ელექთრიკ, ინშაათ ვე თურიზმ სანაი ვე თიჯარეთის წარმომადგენლობა საქართველოში",4.7,0,open,სამშენებლო კომპანია
გივი გაგნიძე,5.0,0,open,უძრავი ქონების დეველოპერი
GIMG,5.0,0,found,
აგორა,5.0,0,found,
ბილდინგ გრუპი,5.0,0,found,სამშენებლო კომპანია
ბადენი,5.0,0,open,სამშენებლო კომპანია
თექა,5.0,0,open,სამშენებლო კომპანია
კრისტალი,5.0,0,found,
ნოვა,,0,open,
ალ ჰამრა ქონსთრაქშენ კო–ს წარმომადგენლობა (ფილიალი) საქართველოში,5.0,0,open,უძრავი ქონების დეველოპერი
მონტაჟმშენი,5.0,0,open,უძრავი ქონების დეველოპერი
აღმაშენებელი 96,4.8,0,open,
ბიზნესცენტრი აგრომონტაჟი,4.8,0,open,
